short_name,long_name,overall,nationality_name,shooting,passing,defending
F. Hanin,Florent Olivier Sylvain Hanin,76,France,44.0,69.0,69.0
N. Roux,Nolan Roux,76,France,76.0,65.0,39.0
A. Limbombe,Anthony Limbombe Ekango,76,Belgium,71.0,67.0,55.0
Eder,Eder Citadin Martins,76,Brazil,75.0,69.0,28.0
G. Defrel,Grégoire Defrel,76,France,75.0,66.0,34.0
X. Mercier,Xavier Mercier,76,France,71.0,81.0,47.0
L. Advíncula,Luis Jan Piers Advíncula Castrillón,76,Peru,64.0,69.0,69.0
S. Ingason,Sverrir Ingi Ingason,76,Iceland,53.0,58.0,78.0
João Afonso,João Ricardo da Silva Afonso,76,Portugal,31.0,46.0,78.0
G. Nyamsi,Gerzino Nyamsi,76,France,33.0,51.0,76.0
André Ramalho,André Ramalho Silva,76,Brazil,59.0,67.0,77.0
José Bosingwa,José Bosingwa da Silva,76,Portugal,55.0,71.0,75.0
E. Papa,Emiliano Ramiro Papa,76,Argentina,46.0,72.0,74.0
Lafita,Ángel Lafita Castillo,76,Spain,69.0,74.0,39.0
C. Erbes,Cristian Damián Erbes,76,Argentina,56.0,71.0,75.0
Ansotegi,Jon Ansotegi Gorostola,76,Spain,33.0,52.0,80.0
J. Arango,Juan Fernando Arango Sáenz,76,Venezuela,78.0,81.0,35.0
Danilo Dias,Danilo Leandro Dias,76,Brazil,71.0,73.0,35.0
Á. Pereira,Álvaro Daniel Pereira Barragán,76,Uruguay,64.0,74.0,73.0
Clayton Fildeiras,Clayton Fábio Fildeiras Cachoeira,76,Brazil,60.0,73.0,72.0
Aurtenetxe,Jon Aurtenetxe Borde,76,Spain,50.0,69.0,76.0
M. Kadlec,Michal Kadlec,76,Czech Republic,62.0,70.0,77.0
Riesgo,Asier Riesgo Unamuno,76,Spain,,,
B. Linssen,Bryan Linssen,76,Netherlands,74.0,70.0,46.0
S. Özcan,Salih Özcan,76,Germany,62.0,69.0,72.0
A. Broja,Armando Broja,76,Albania,74.0,54.0,29.0
A. Letellier,Alexandre Letellier,76,France,,,
Sebá,Sebastião de Freitas Couto Júnior,76,Brazil,74.0,68.0,49.0
P. Hurtado,Christopher Paolo César Hurtado Huertas,76,Peru,73.0,73.0,46.0
D. Labran,Dilan Labran,76,Chile,57.0,72.0,72.0
R. Lafrentz,Rosberto J. Lafrentz,76,Chile,50.0,71.0,73.0
A. Candales,Alonso Candales,76,Chile,39.0,52.0,76.0
W. Mansila,Washington Mansila,76,Chile,76.0,61.0,33.0
M. Compper,Marvin Compper,76,Germany,37.0,56.0,78.0
Thiago Maia,Thiago Maia Alencar,76,Brazil,57.0,69.0,74.0
M. Jojić,Miloš Jojić,76,Serbia,74.0,77.0,50.0
Zheng Zhi,郑智,76,China PR,65.0,75.0,72.0
P. Guiñazú,Pablo Horacio Guiñazú,76,Argentina,54.0,70.0,74.0
A. Cossu,Andrea Cossu,76,Italy,68.0,77.0,30.0
A,Alonso,76,Chile,39.0,52.0,76.0
W,Washington,76,Chile,76.0,61.0,33.0
E,Edgardo,76,Chile,76.0,75.0,40.0
A,Anyelo,76,Chile,53.0,63.0,72.0
A,Arturo,76,Chile,53.0,70.0,75.0
R,Ruben,76,Chile,,,
C,Christopher,76,Chile,,,
G,Gino,76,Chile,,,
R,Rosberto J.,76,Chile,50.0,71.0,73.0
D,Dilan,76,Chile,57.0,72.0,72.0
L,Luca,76,Chile,50.0,61.0,75.0
A,A. Benjamin,76,Chile,48.0,58.0,76.0
M. Dabbur,Munas Dabbur,76,Israel,71.0,66.0,35.0
Gabriel Strefezza,Gabriel Tadeu Strefezza Rebelato,76,Brazil,64.0,73.0,29.0
Kwon Chang Hoon,권창훈 权昶勋,76,Korea Republic,71.0,74.0,56.0
Y. Khacheridi,Yevhen Khacheridi,76,Ukraine,39.0,50.0,76.0
Dani Pacheco,Daniel Pacheco Lobato,76,Spain,69.0,76.0,36.0
Bobô,Deyvison Rogério da Silva,76,Brazil,77.0,64.0,29.0
T. Elyounoussi,Tarik Elyounoussi,76,Norway,72.0,66.0,40.0
B. Kısa,Bilal Kısa,76,Turkey,73.0,80.0,53.0
J. Forlin,Juan Daniel Forlín,76,Argentina,39.0,64.0,77.0
B. Sarmiento,Brian Oscar Sarmiento,76,Argentina,68.0,74.0,28.0
J. Firpo,Héctor Junior Firpo Adames,76,Dominican Republic,58.0,68.0,74.0
C. Carmona,Carlos Emilio Carmona Tello,76,Chile,59.0,73.0,70.0
Emerson,Emerson Palmieri dos Santos,76,Brazil,59.0,66.0,68.0
D. Liénard,Dimitri Liénard,76,France,72.0,79.0,58.0
A. Zambo Anguissa,André Franck Zambo Anguissa,76,Cameroon,59.0,71.0,73.0
P. Tschauner,Philipp Tschauner,76,Germany,,,
M. Morozyuk,Mykola Morozyuk,76,Ukraine,59.0,74.0,74.0
F. Silva,Francisco Andrés Silva Gajardo,76,Chile,61.0,71.0,69.0
Lombán,David Rodríguez Lombán,76,Spain,59.0,65.0,76.0
D. Biseswar,Diego Marvin Biseswar,76,Suriname,69.0,77.0,33.0
M. Alcoraz,Matias Alcoraz,75,Chile,46.0,56.0,73.0
H. Acevedo,Herlyn Acevedo,75,Chile,50.0,61.0,73.0
Fábio Pacheco,Fábio José Ferreira Pacheco,75,Portugal,55.0,70.0,74.0
F. Navarro,Fernando Navarro Morán,75,Mexico,65.0,74.0,68.0
T. Kádár,Tamás Kádár,75,Hungary,34.0,66.0,74.0
Pulido,Jorge Pulido Mayoral,75,Spain,41.0,53.0,76.0
A. Christiansen,Anders Christiansen,75,Denmark,72.0,73.0,65.0
Ailton,Aílton Ferreira Silva,75,Brazil,60.0,63.0,71.0
A. Grassi,Alberto Grassi,75,Italy,63.0,72.0,67.0
M. Silva,Martín Andrés Silva Leites,75,Uruguay,,,
B. Zungu,Bongani Zungu,75,South Africa,66.0,73.0,69.0
J. Figal,Jorge Nicolás Figal,75,Argentina,45.0,62.0,74.0
R. Martínez,Roger Beyker Martínez Tobinson,75,Colombia,72.0,62.0,35.0
Edgar Méndez,Edgar Antonio Méndez Ortega,75,Spain,72.0,69.0,42.0
Felipe,Felipe Dias da Silva dal Belo,75,Brazil,35.0,51.0,78.0
Djavan,Djavan da Silva Ferreira,75,Brazil,47.0,64.0,71.0
L. Lerager,Lukas Reiff Lerager,75,Denmark,66.0,69.0,70.0
R. Otero,Rómulo Otero Vásquez,75,Venezuela,71.0,71.0,45.0
M. Mevlja,Miha Mevlja,75,Slovenia,38.0,61.0,77.0
J. Pivarić,Josip Pivarić,75,Croatia,64.0,69.0,70.0
J. Akpa Akpro,Jean-Daniel Dave Lewis Akpa Akpro,75,Côte d'Ivoire,67.0,72.0,74.0
Luo Guofu,洛国富,75,China PR,76.0,74.0,43.0
S. Dioudis,Sokratis Dioudis,75,Greece,,,
João Paulo,João Paulo Mior,75,Brazil,63.0,77.0,64.0
G. Carrillo,Guido Marcelo Carrillo,75,Argentina,75.0,54.0,39.0
Burgui,Jorge Franco Alviz,75,Spain,67.0,71.0,41.0
Marlon Santos,Marlon Santos da Silva Barbosa,75,Brazil,44.0,59.0,74.0
Idris,Idrissa Mandiang,75,Senegal,52.0,61.0,75.0
M. Tisserand,Marcel Tisserand,75,Congo DR,59.0,69.0,73.0
Y. Gazinskiy,Yuriy Gazinskiy,75,Russia,55.0,66.0,72.0
M. Cabrera,Matías Julio Cabrera Acevedo,75,Uruguay,56.0,75.0,55.0
D. Rodríguez,Diego Martín Rodríguez Berrini,75,Uruguay,58.0,65.0,76.0
D. Bocanegra,Daniel Eduardo Bocanegra Ortíz,75,Colombia,55.0,68.0,74.0
B. Alemán,Brahian Milton Alemán Athaydes,75,Uruguay,72.0,73.0,66.0
J. Toljan,Jeremy Toljan,75,Germany,42.0,65.0,67.0
C. Cueva,Christian Alberto Cueva Bravo,75,Peru,67.0,71.0,41.0
R. Jack,Ryan Jack,75,Scotland,67.0,71.0,73.0
K. Nordfeldt,Bo Kristoffer Nordfeldt,75,Sweden,,,
C. Hourihane,Conor Hourihane,75,Republic of Ireland,70.0,76.0,66.0
Tiago Pinto,Tiago Miguel Baía Pinto,75,Portugal,60.0,70.0,70.0
F. Martínez,Fidel Francisco Martínez Tenorio,75,Ecuador,72.0,65.0,32.0
L. Júnior,Junior Wakalible Lago,75,Côte d'Ivoire,72.0,64.0,34.0
F. Helander,Filip Viktor Helander,75,Sweden,33.0,44.0,78.0
B. Butko,Bogdan Butko,75,Ukraine,48.0,66.0,73.0
A. Mawson,Alfie Mawson,75,England,43.0,50.0,75.0
A. Katai,Aleksandar Katai,75,Serbia,76.0,73.0,43.0
M. Bauer,Moritz Bauer,75,Austria,46.0,69.0,71.0
M. Krmenčík,Michael Krmenčík,75,Czech Republic,72.0,57.0,27.0
S. Kryvtsov,Sergiy Kryvtsov,75,Ukraine,44.0,51.0,75.0
Júnior Urso,Ocimar de Almeida Júnior,75,Brazil,65.0,65.0,72.0
M. Schnatterer,Marc Schnatterer,75,Germany,76.0,77.0,35.0
P. Capelle,Pierrick Capelle,75,France,72.0,73.0,66.0
K. Akpoguma,Kevin John Ufuoma Akpoguma,75,Germany,48.0,54.0,76.0
J. Gondorf,Jérôme Gondorf,75,Germany,66.0,74.0,68.0
Júlio Tavares,Júlio Carolino Tavares,75,Cape Verde Islands,73.0,53.0,30.0
M. Agu,Mikel Ndubusi Agu,75,Nigeria,44.0,59.0,75.0
João Teixeira,João Carlos Vilaça Teixeira,75,Portugal,65.0,70.0,37.0
L. Schaub,Louis Schaub,75,Austria,66.0,69.0,38.0
P. Gouano,Prince-Désir Gnahoré Gouano,75,France,25.0,50.0,75.0
Nildo Petrolina,Evanildo Fernandes Gomes,75,Brazil,70.0,72.0,57.0
M. Çağıran,Musa Çağıran,75,Turkey,68.0,75.0,71.0
L. González Pirez,Leandro Martín González Pírez,75,Argentina,48.0,63.0,74.0
S. Kittel,Sonny Kittel,75,Germany,69.0,74.0,34.0
R. Amalfitano,Romain Amalfitano,75,France,60.0,71.0,69.0
B. Douglas,Barry James Douglas,75,Scotland,64.0,75.0,70.0
J. Hendrick,Jeff Patrick Hendrick,75,Republic of Ireland,69.0,74.0,72.0
K. Ansarifard,Karim Ansarifard,75,Iran,73.0,56.0,43.0
Guerrero,Miguel Ángel Guerrero Martín,75,Spain,74.0,66.0,42.0
M. Vydra,Matěj Vydra,75,Czech Republic,75.0,67.0,35.0
C. Ciano,Camillo Ciano,75,Italy,70.0,72.0,27.0
J. Bryan,Joe Bryan,75,England,64.0,66.0,72.0
A. Donnarumma,Alfredo Donnarumma,75,Italy,74.0,59.0,33.0
E. Dilaver,Emir Dilaver,75,Austria,46.0,57.0,75.0
T. Serero,Thulani Caleeb Serero,75,South Africa,50.0,68.0,67.0
L. Griffiths,Leigh Griffiths,75,Scotland,75.0,69.0,33.0
A. Cornelius,Andreas Evald Cornelius,75,Denmark,73.0,53.0,39.0
N. Benezet,Nicolas Benezet,75,France,71.0,71.0,32.0
M. Ostrzolek,Matthias Ostrzolek,75,Germany,46.0,67.0,72.0
K. Stafylidis,Konstantinos Stafylidis,75,Greece,64.0,68.0,72.0
Fabrício,Fabrício dos Santos Messias,75,Brazil,76.0,66.0,36.0
William,William Alves de Oliveira,75,Brazil,73.0,62.0,26.0
A. Flint,Aden Flint,75,England,49.0,43.0,73.0
C. Daniels,Charlie Daniels,75,England,55.0,72.0,72.0
D. Simpson,Danny Simpson,75,England,38.0,61.0,77.0
S. Floccari,Sergio Floccari,75,Italy,76.0,61.0,24.0
I. Herreras,Italo Herreras,75,Chile,53.0,67.0,73.0
A. Cambrillo,Antonio Cambrillo,75,Chile,75.0,59.0,27.0
H. Lemonez,Hernan Lemonez,75,Chile,63.0,69.0,76.0
H. Riffosas,Hector Riffosas,75,Chile,40.0,54.0,74.0
C. Abridego,Cristian Abridego,75,Chile,62.0,66.0,72.0
K. Cordesia,Kevin Cordesia,75,Chile,68.0,75.0,34.0
E. Merraño,Evaristo Merraño,75,Chile,69.0,73.0,37.0
J. Landiso,Johnny Landiso,75,Chile,73.0,73.0,28.0
Y. Donosos,Yerson Donosos,75,Chile,71.0,70.0,37.0
L. Lereas,Lino Lereas,75,Chile,75.0,68.0,42.0
V. Guerra,Vildan Guerra,75,Chile,40.0,58.0,75.0
T. Kalachev,Timofey Kalachev,75,Belarus,73.0,77.0,70.0
O. Budeaga,Oscar Budeaga,75,Chile,54.0,71.0,72.0
J. Carrizo,Juan Pablo Carrizo,75,Argentina,,,
R. Jardelino,Raul Jardelino,75,Chile,63.0,75.0,68.0
J. Epazo,Jefferson Epazo,75,Chile,,,
S. Cardenia,Sergio Cardenia,75,Chile,64.0,67.0,57.0
J. Lopendañez,Jorge Lopendañez,75,Chile,57.0,68.0,75.0
E. Bolindos,Eduardo Bolindos,75,Chile,70.0,68.0,71.0
A. Baredia,Angelo Baredia,75,Chile,50.0,58.0,75.0
C. Brunt,Chris Brunt,75,Northern Ireland,74.0,79.0,65.0
Y. Pelé,Yohann Pelé,75,France,,,
E. Didot,Étienne Didot,75,France,63.0,78.0,71.0
L. Rigoni,Luca Rigoni,75,Italy,67.0,72.0,71.0
B. Feilhaber,Benny Feilhaber,75,United States,69.0,74.0,62.0
A. Gilardino,Alberto Gilardino,75,Italy,73.0,60.0,29.0
R. Özcan,Ramazan Özcan,75,Austria,,,
J. Badamontes,Jose Badamontes,75,Chile,64.0,70.0,26.0
N. Asare,Nana Akwasi Asare,75,Ghana,59.0,73.0,74.0
F. Vidangosa,Francisco Vidangosa,75,Chile,,,
C. Cordeso,Claudio Cordeso,75,Chile,56.0,70.0,73.0
E. Dinsol,Eduardo Dinsol,75,Chile,48.0,69.0,74.0
M. Leckie,Mathew Allan Leckie,75,Australia,69.0,66.0,55.0
K. McDonald,Kevin McDonald,75,Scotland,59.0,71.0,72.0
M. Fritzler,Matías Lionel Fritzler,75,Argentina,49.0,64.0,73.0
M. Kozáčik,Matúš Kozáčik,75,Slovakia,,,
V. Cáceres,Víctor Javier Cáceres Centurión,75,Paraguay,68.0,67.0,75.0
Titi,Cristian Chagas Tarouco,75,Brazil,39.0,44.0,77.0
Nuno Pinto,Nuno Miguel Sousa Pinto,75,Portugal,56.0,70.0,71.0
W. Hennessey,Wayne Robert Hennessey,75,Wales,,,
Salva Sevilla,Salvador Sevilla López,75,Spain,70.0,80.0,56.0
D. Congré,Daniel Congré,75,France,30.0,61.0,76.0
A. Pérez,Andrés Eduardo Pérez Gutiérrez,75,Colombia,64.0,68.0,73.0
M. Leye,M'Baye Leye,75,Senegal,73.0,71.0,38.0
R. Donk,Ryan Henk Donk,75,Suriname,64.0,70.0,74.0
Ivo,Olívio Da Rosa,75,Brazil,69.0,77.0,53.0
J. Babin,Jean-Sylvain Claude Babin,75,France,48.0,59.0,75.0
G. Bergessio,Gonzalo Rubén Bergessio,75,Argentina,77.0,60.0,33.0
D. Randolph,Darren Randolph,75,Republic of Ireland,,,
J. Urretaviscaya,Jonathan Matías Urretaviscaya da Luz,75,Uruguay,70.0,72.0,34.0
C. Toselli,Cristopher Benjamín Toselli Ríos,75,Chile,,,
J. Stanislas,Junior Stanislas,75,England,69.0,73.0,36.0
J. Hoilett,David Junior Hoilett,75,Canada,71.0,69.0,35.0
A. Adomah,Albert Danquah Adomah,75,Ghana,70.0,67.0,54.0
S. Johansen,Stefan Marius Johansen,75,Norway,70.0,74.0,67.0
J. Hernández,Jorge Daniel Hernández Govea,75,Mexico,60.0,71.0,70.0
M. Diamé,Mohamed Diamé,75,Senegal,71.0,68.0,75.0
A. Pulido,Alan Pulido Izaguirre,75,Mexico,73.0,62.0,36.0
H. Behrens,Hanno Behrens,75,Germany,71.0,65.0,76.0
Fábio Espinho,Fábio Ricardo Gomes Fonseca,75,Portugal,71.0,73.0,61.0
J. Ananidze,Jano Ananidze,75,Georgia,71.0,74.0,39.0
Pelé,Judilson Mamadu Tuncará Gomes,75,Guinea Bissau,60.0,69.0,73.0
E. Badu,Emmanuel Agyemang-Badu,75,Ghana,67.0,70.0,72.0
E. Zukanović,Ervin Zukanović,75,Bosnia and Herzegovina,49.0,64.0,75.0
D. Alar,Deni Alar,75,Austria,76.0,64.0,32.0
M. Yoshida,吉田 麻也,75,Japan,41.0,51.0,75.0
V. Ignatiev,Vladislav Ignatiev,75,Russia,67.0,73.0,73.0
José Cañas,José Alberto Cañas Ruiz-Herrera,75,Spain,45.0,66.0,72.0
Vesga,Mikel Vesga Arruti,75,Spain,63.0,70.0,76.0
J. Chester,James Chester,75,Wales,34.0,58.0,75.0
C. Marrugo,Christian Camilo Marrugo Rodríguez,75,Colombia,68.0,75.0,52.0
M. Eikrem,Magnus Wolff Eikrem,75,Norway,70.0,79.0,44.0
Oier,Oier Olazábal Paredes,75,Spain,,,
S. Rajković,Slobodan Rajković,75,Serbia,37.0,48.0,74.0
A. Barreca,Antonio Barreca,75,Italy,34.0,62.0,71.0
Alam Lindeiro,Alam Cristian Lindeiro Couto,75,Brazil,42.0,68.0,73.0
H. Maïga,Digbo G'nampa Habib Maïga,75,Côte d'Ivoire,55.0,66.0,72.0
J. Hernández,Juan Camilo Hernández Suárez,75,Colombia,75.0,65.0,43.0
M. Djenepo,Moussa Djenepo,75,Mali,69.0,66.0,36.0
T. Kubo,久保 建英,75,Japan,66.0,68.0,39.0
M. Murillo,Michael Amir Murillo Bermudez,75,Panama,56.0,68.0,70.0
R. Vargas,Rubén Estephan Vargas Martínez,75,Switzerland,69.0,67.0,54.0
Bruno Tabata,Bruno Vinícius Souza Ramos,75,Brazil,67.0,71.0,40.0
N. Moumi Ngamaleu,Nicolas Brice Moumi Ngamaleu,75,Cameroon,72.0,66.0,34.0
Ayrton,Ayrton Lucas Dantas de Medeiros,75,Brazil,55.0,65.0,67.0
Ontiveros,Javier Ontiveros Parra,75,Spain,74.0,73.0,35.0
I. Radu,Ionuț Andrei Radu,75,Romania,,,
H. Koffi,Hervé Kouakou Koffi,75,Burkina Faso,,,
Jamiro Monteiro,Jamiro Gregory Monteiro Alvarenga,75,Cape Verde Islands,62.0,72.0,64.0
Y. Dyupin,Yuri Dyupin,75,Russia,,,
T. Bašić,Toma Bašić,75,Croatia,64.0,76.0,69.0
P. Dárenas,Pablo Nicolás Dárenas,75,Uruguay,,,
D. Pámanes,Diego Aaron Pámanes,75,Uruguay,76.0,61.0,33.0
M. Kumbulla,Marash Kumbulla,75,Albania,32.0,53.0,77.0
S. Wamangituka,Silas Katompa Mvumpa,75,Congo DR,71.0,61.0,52.0
P. Vaquizo,Pedro Vaquizo,75,Ecuador,71.0,68.0,27.0
N. Radonjić,Nemanja Radonjić,75,Serbia,71.0,71.0,30.0
J. Macías,José Juan Macías Guzmán,75,Mexico,74.0,59.0,25.0
M. Saracchi,Marcelo Josemir Saracchi Pintos,75,Uruguay,63.0,72.0,71.0
B. Barišić,Borna Barišić,75,Croatia,57.0,75.0,70.0
Manu Vallejo,Manuel Javier Vallejo Galván,75,Spain,76.0,68.0,43.0
Martín,Martín Aguirregabiria Padilla,75,Spain,35.0,63.0,74.0
I. Louza,Imran Louza,75,France,66.0,74.0,63.0
B. Williams,Brandon Williams,75,England,57.0,65.0,71.0
M. Frýdek,Martin Frýdek Jr.,75,Czech Republic,68.0,71.0,69.0
A. Adnan,Ali Adnan Kadhim Al Tameemi,75,Iraq,68.0,69.0,71.0
S. Posch,Stefan Posch,75,Austria,29.0,50.0,79.0
A. Bouchalakis,Andreas Bouchalakis,75,Greece,72.0,74.0,71.0
L. Hoyos,Lucas Adrián Hoyos,75,Argentina,,,
H. Belkebla,Haris Belkebla,75,Algeria,49.0,70.0,70.0
Rúben Lameiras,Rúben Barcelos De Sousa Lameiras,75,Portugal,71.0,72.0,42.0
Hernani,Hernani Azevedo Júnior,75,Brazil,69.0,69.0,74.0
Merquelanz,Martín Merquelanz Castellanos,75,Spain,78.0,75.0,45.0
E. Unsain,Luis Ezequiel Unsain,75,Argentina,,,
A. Cubas,Adrián Andrés Cubas,75,Paraguay,52.0,68.0,75.0
E. Gómez,Elías José Gómez,75,Argentina,57.0,67.0,68.0
A. Zeneli,Arbër Zeneli,75,Kosovo,70.0,70.0,35.0
A. Long,Aaron Long,75,United States,40.0,56.0,74.0
T. Cantwell,Todd Cantwell,75,England,68.0,72.0,38.0
B. Pittón,Bruno Alejandro Pittón,75,Argentina,66.0,71.0,70.0
Alexio Sanctos,Alexandre Jonas Santos Fernandes,75,Brazil,,,
Jailson Caeiro,Jailson Michel Caeiro Meireles,75,Brazil,53.0,63.0,74.0
Kaíqundo Calado,Kaíqundo Calado Dimas,75,Brazil,51.0,64.0,72.0
Estevão Candeira,Estevão Danilo Candeira Inácio,75,Brazil,59.0,70.0,70.0
Leo Vimieiro,Leôncio Roger Vimieiro Madeira,75,Brazil,52.0,66.0,74.0
Jorginhson,Jorgino Silas Ruiz Prestes,75,Brazil,57.0,68.0,76.0
Cris Laranjeiros,Cristian Also Laranjeiro Sá,75,Brazil,54.0,61.0,75.0
Kaíquão Castro,Kaíque Osvaldo Castro Rodrigues,75,Brazil,,,
Danisco Fachini,Daniel Clayton Fachini Lobato,75,Brazil,43.0,67.0,74.0
Joshuando Sá,Joshua Eduardo Sá Madeira,75,Brazil,44.0,64.0,75.0
Rubens Freitosa,Rubens Jairo Freitosa Costa,75,Brazil,64.0,73.0,68.0
Pascoal Muscato,Pascoal Simão Muscato Vieira,75,Brazil,68.0,69.0,73.0
Elildo Petri,Elias Thiago Petri Taffarel,75,Brazil,68.0,75.0,29.0
T. Davies,Tom Davies,75,England,64.0,73.0,69.0
J. Morris,Jordan Morris,75,United States,70.0,68.0,38.0
Roger Guedes,Roger Krug Guedes,75,Brazil,74.0,71.0,31.0
C. Espinoza,Cristian Omar Espinoza,75,Argentina,66.0,70.0,40.0
A. Mitriță,Alexandru Ionuț Mitriță,75,Romania,69.0,69.0,26.0
J. Drommel,Joël Drommel,75,Netherlands,,,
J. Reine-Adélaïde,Jeff Reine-Adélaïde,75,France,70.0,72.0,54.0
D. Barinov,Dmitriy Barinov,75,Russia,59.0,63.0,74.0
W. Faríñez,Wuilker Fariñez Aray,75,Venezuela,,,
D. Bradarić,Domagoj Bradarić,75,Croatia,55.0,68.0,70.0
Aitor Sanz,Aitor Sanz Martín,75,Spain,62.0,74.0,68.0
K. Dawson,Kevin Emiliano Dawson Blanco,75,Uruguay,,,
B. Białkowski,Bartosz Białkowski,75,Poland,,,
A. Barrada,Abdelaziz Barrada,75,Morocco,67.0,75.0,42.0
Dani Rochelinhas,Danilo Manuel Aldair Rochela,75,Brazil,63.0,72.0,36.0
Otávio Cairinho,Otávio Alberto Cairinho Monteiro,75,Brazil,50.0,58.0,75.0
Simão Donatinho,Simão Alvin Donatinho Garcia,75,Brazil,,,
Fabrio Farinha,Fabrio Sandro Farinha Donatelo,75,Brazil,62.0,75.0,52.0
F. Waller,Facundo Federico Waller Martiarena,75,Uruguay,70.0,73.0,64.0
R. Sobhi,Ramadan Sobhi Ramadan Ahmed,75,Egypt,63.0,73.0,46.0
R. Morioka,森岡 弘良太,75,Japan,70.0,76.0,36.0
Lato,Antonio Latorre Grueso,75,Spain,53.0,69.0,71.0
Allan Bardinho,Allan Norberto Bardini Paneira,75,Brazil,69.0,73.0,37.0
G. Rivas,Gelmín Javier Rivas Boada,75,Venezuela,77.0,52.0,26.0
B. Kuwas,Brandley Mack-Olien Kuwas,75,Netherlands,72.0,68.0,23.0
Sabin Merino,Sabin Merino Zuloaga,75,Spain,72.0,68.0,43.0
M. Caraglio,Milton Joel Caraglio,75,Argentina,76.0,61.0,27.0
A. Ibargüen,Andrés Felipe Ibargüen García,75,Colombia,66.0,69.0,26.0
Pedrinho,Pedro Filipe Barbosa Moreira,75,Portugal,70.0,75.0,58.0
A. Elis,Alberth Josué Elis Martínez,75,Honduras,71.0,64.0,29.0
Edmilson Junior,Edmilson Junior Paulo da Silva,75,Brazil,73.0,69.0,44.0
G. Ferrari,Gian Marco Ferrari,75,Italy,19.0,39.0,77.0
A. Nouri,Abdelhak Nouri,75,Netherlands,63.0,77.0,32.0
Ivi,Iván López Álvarez,75,Spain,74.0,67.0,35.0
Ö. Şahiner,Ömer Ali Şahiner,75,Turkey,66.0,71.0,66.0
G. Jara,Gonzalo Alejandro Jara Reyes,75,Chile,47.0,63.0,73.0
L. Sobiech,Lasse Sobiech,75,Germany,51.0,47.0,76.0
A. Ioniţă,Artur Ioniţă,75,Moldova,69.0,72.0,72.0
C. Pellerano,Cristian Alberto Pellerano,75,Argentina,65.0,67.0,70.0
Jordi Quintillà,Jordi Quintillà Guasch,75,Spain,69.0,75.0,63.0
O. Nguette,Opa Nguette,75,Senegal,67.0,67.0,40.0
Frederico Venâncio,Frederico André Ferrão Venâncio,75,Portugal,33.0,51.0,76.0
L. Aued,Luciano Román Aued,75,Argentina,66.0,74.0,66.0
Kévin Rodrigues,Kévin Manuel Rodrigues,75,Portugal,59.0,75.0,70.0
M. Bíttolo,Mariano Ezequiel Bíttolo,75,Argentina,46.0,72.0,68.0
C. Lema,Cristian Franco Lema,75,Argentina,49.0,56.0,76.0
P. Zinckernagel,Philip Aksel Frigast Zinckernagel,75,Denmark,71.0,71.0,42.0
A. Schlager,Alexander Schlager,75,Austria,,,
A. Martín Arias,Alexis Martín Arias,75,Argentina,,,
J. Angulo,Juan Camilo Angulo Villegas,75,Colombia,58.0,69.0,73.0
Jo Hyeon Woo,조현우 崔永宇,75,Korea Republic,,,
G. Kamara,Glen Adjei Kamara,75,Finland,60.0,70.0,72.0
A. Ricaurte,Andrés Ricaurte Vélez,75,Colombia,62.0,77.0,63.0
B. Pearson,Ben Pearson,75,England,49.0,63.0,72.0
N. Vikonis,Nicolás Vikonis Moreau,75,Uruguay,,,
W. Tesillo,William José Tesillo Gutiérrez,75,Colombia,29.0,61.0,77.0
B. Decordova-Reid,Bobby De Cordova-Reid,75,Jamaica,72.0,69.0,57.0
A. Ring,Alexander Ring,75,Finland,62.0,70.0,73.0
S. Ribas,Sebastián César Helios Ribas Barbato,75,Uruguay,75.0,52.0,30.0
E. Thommy,Erik Thommy,75,Germany,69.0,74.0,33.0
Chema Rodríguez,José Manuel Rodríguez Benito,75,Spain,57.0,58.0,74.0
A. Roa,Andrés Felipe Roa Estrada,75,Colombia,60.0,73.0,49.0
J. Alonso,Júnior Osmar Ignacio Alonso Mujica,75,Paraguay,54.0,62.0,72.0
S. Al Faraj,Salman Mohammed Al-Faraj,75,Saudi Arabia,68.0,75.0,70.0
O. Hawsawi,Osama Abdulrezag Hawsawi,75,Saudi Arabia,57.0,53.0,74.0
J. Livermore,Jake Livermore,75,England,64.0,72.0,71.0
O. Assaidi,Oussama Assaidi,75,Morocco,70.0,68.0,33.0
J. Dueñas,Jesús Alberto Dueñas Manzo,75,Mexico,64.0,73.0,71.0
R. Neustädter,Roman Neustädter,75,Russia,52.0,67.0,76.0
D. Jensen,David Jensen,75,Denmark,,,
Rúben Micael,Rúben Micael Freitas da Ressurreição,75,Portugal,70.0,78.0,50.0
P. Nakoulma,Préjuce Niguimbé Nakoulma,75,Burkina Faso,71.0,63.0,39.0
D. Diekmeier,Dennis Diekmeier,75,Germany,40.0,66.0,71.0
B. Verstraete,Birger Danny Verstraete,75,Belgium,57.0,70.0,73.0
S. Mitrović,Stefan Mitrović,75,Serbia,34.0,49.0,76.0
K. Kanga,Kaku Guélor Kanga,75,Gabon,69.0,74.0,49.0
D. Valdés,Diego Alfonso Valdés Contreras,75,Chile,68.0,72.0,52.0
B. Poulain,Benoît Guy Jean Poulain,75,France,26.0,58.0,77.0
R. Skov,Robert Skov,75,Denmark,75.0,72.0,46.0
H. Villalba,Héctor Daniel Villalba,75,Paraguay,76.0,65.0,36.0
